Iteración,x,g,d,alpha,beta,Direcciones
0,[-10.95492173  18.81509621  10.56118295   5.44619193],[1491.46866425 3685.25071022 3034.40242706 4390.94425766],[ -1576.65117205 -14673.79421665  -9763.8205434  -16572.04287332],[-0.00375652],[7.09854232],"-1576.6511720493106, -14673.794216647413, -9763.820543399106, -16572.042873317463"
1,[-11.91465348   9.88293266   4.61779567  -4.64146469],[-1047.58783993   227.85377462  -397.79453428   132.28276429],[1000.42034232 -666.83873585  105.6975947  -628.0562153 ],[0.00060872],[0.02991625],"1000.4203423247862, -666.8387358481806, 105.6975947028007, -628.0562153002788"
2,[-6.96854256  6.58606013  5.14036804 -7.74659518],[-423.75569613  -58.38686287 -413.33367447 -682.56242279],[1042.62266129 -354.12420596  478.71893994  294.04249025],[0.00494403],[0.61860694],"1042.6226612855332, -354.12420596463505, 478.71893993734716, 294.04249025188125"
3,[-4.72650185  5.82455655  6.16979833 -7.11429045],[ 116.58420117  205.82777993  120.7345062  -362.06544735],[ 139.8697993  -292.93174635   -2.98396058  434.39110814],[0.00215039],[0.2459701],"139.86979930056344, -292.93174635317547, -2.9839605764327075, 434.39110813914033"
4,[-3.99097362  4.28412701  6.15410668 -4.8299737 ],[124.31239535 160.37602474 497.69775041  71.54103547],[  79.63561988 -587.50788998 -502.0487457   561.85662994],[0.00525866],[1.4581276],"79.6356198809392, -587.5078899827257, -502.04874569743583, 561.8566299418826"
5,[-3.66751999  1.89786371  4.11495025 -2.54789736],[-290.83726777 -223.11589336  316.36737235   90.61119532],[ 356.56907012 -261.81726293 -730.76194818  373.14923001],[0.00406167],[0.82540705],"356.56907012244994, -261.817262931811, -730.7619481758275, 373.1492300068164"
6,[-1.92036857  0.61498631  0.53429257 -0.71950488],[-342.9211912  -205.17922877 -142.86790957  -96.06560287],[ 621.12446611    0.90346265 -427.28913486  387.20509453],[0.0048999],[0.78022268],"621.1244661051762, 0.9034626548508697, -427.2891348632595, 387.20509452809097"
7,[-0.59397576  0.61691562 -0.37817065  0.10736007],[ -77.873515     52.97320514 -109.70674793    3.73131635],[146.50320367 -52.87337916  62.49443881  39.0520009 ],[0.00213547],[0.11049265],"146.50320366643325, -52.873379160847776, 62.49443880574157, 39.052000902941764"
8,[-0.15650168  0.45903011 -0.19155564  0.22397348],[ 24.53232941 101.1687478  -10.3428999   61.49345436],[  78.59006288 -138.38588169   54.33221804  -34.0050742 ],[0.00298611],[0.70389172],"78.59006287528622, -138.38588169272404, 54.33221803514459, -34.00507420297555"
9,[ 0.12550739 -0.03754761  0.00340766  0.10195119],[28.20952858 20.42552022 27.47141845 25.96577474],[-14.10968104 -45.25333893 -17.7236722  -32.06662699],[0.00358836],[0.17941006],"-14.109681035297914, -45.25333892931168, -17.723672196980864, -32.06662699133579"
10,[ 0.10298692 -0.10977649 -0.0248811   0.05076963],[ 6.93281495 -6.40026801  7.98142303  1.57027943],[-7.76168295  3.74187734 -9.0225936  -3.45402158],[0.0015961],[0.05874463],"-7.761682946910629, 3.7418773418154636, -9.022593598262096, -3.454021578386681"
11,[ 0.07962413 -0.09851338 -0.05203925  0.04037297],[ 0.1776949  -9.24112362 -2.07213179 -4.99775671],[-5.91413966 12.00664146 -4.59621709  2.44498508],[0.00301002],[0.73907229],"-5.914139662860935, 12.006641463377074, -4.596217091106885, 2.4449850802241704"
12,[ 0.05692244 -0.05242534 -0.06968204  0.04975816],[ 0.65811338 -1.36068824 -5.45743734 -1.98532767],[-2.51482033  5.1300978   4.01448389  2.75291536],[0.00383855],[0.31394371],"-2.5148203286025765, 5.130097804712014, 4.014483891786817, 2.7529153557059214"
13,[ 0.05078416 -0.03990357 -0.05988331  0.05647759],[ 2.29049429  1.65437919 -2.1655987   2.16745336],[-3.50363738  0.82036727  4.10217578 -0.83945382],[0.00244084],[0.48239752],"-3.503637379929287, 0.8203672737932277, 4.102175777129171, -0.8394538189433987"
14,[ 0.03058209 -0.03517331 -0.03623006  0.05163728],[ 0.17352608 -0.07788776  1.08983835  4.5253704 ],[-4.55088335  1.1028342   4.03531789 -5.57416309],[0.00576603],[1.24937509],"-4.550883352152023, 1.10283420255859, 4.035317888178865, -5.57416309449209"
15,[ 0.0126092  -0.03081787 -0.0202933   0.02962314],[-2.74571859 -3.39860664 -0.06552806  1.52182824],[-1.74369414  4.48654442  4.04633927 -7.02069885],[0.00394932],[0.98649259],"-1.7436941371157788, 4.486544418205786, 4.046339271331046, -7.020698848924096"
16,[ 0.00499014 -0.01121394 -0.00261285 -0.00105377],[-0.84818097 -2.11577933 -0.70844788 -1.54973037],[ 0.18852631  3.81307811  2.23921322 -1.10626108],[0.00436949],[0.3783087],"0.18852630847034246, 3.81307810813093, 2.23921322308152, -1.1062610788417184"
17,[ 0.00534181 -0.00410126  0.00156404 -0.00311732],[ 0.68854249 -0.38555719  0.2458545  -0.71396407],[-0.6607754   0.9471664   0.08394802  0.5510284 ],[0.00186534],[0.147285],"-0.6607753971403142, 0.9471664035989359, 0.08394802419667602, 0.5510284037442447"
18,[ 0.00255896 -0.00011228  0.00191759 -0.00079667],[0.75601967 0.36878092 0.57358156 0.18531034],[-1.34919982  0.48149335 -0.49822115  0.30934959],[0.0042115],[0.89770315],"-1.349199820456585, 0.4814933472578854, -0.49822115073817763, 0.30934959206777224"
19,[-7.54851365e-04  1.07033134e-03  6.93892452e-04 -3.68634435e-05],[0.05006931 0.1595393  0.12787434 0.1760018 ],[-0.14492294 -0.12568857 -0.16290109 -0.15425341],[0.00245613],[0.07030362],"-0.14492293621888952, -0.12568857436775252, -0.1629010856537188, -0.1542534067460344"
